	sentence	v	a	d
3507	disagree	2.8	4.9	5.4
3508	disagreeable	3.3	4.3	4.5
3509	disagreement	2.9	3.9	5.1
3510	disappear	4.1	4.4	5.4
3511	disappearance	3.8	5.0	3.9
3512	disappoint	3.4	3.9	4.1
3513	disappointed	2.6	4.5	4.1
3514	disappointing	2.8	4.1	4.3
3515	disappointment	2.8	4.9	4.1
3516	disapproval	3.4	4.2	5.3
3517	disapprove	3.6	3.8	5.2
3518	disarm	4.4	3.7	5.9
3519	disaster	1.7	6.4	3.0
3520	disastrous	2.2	4.2	3.9
3521	disband	4.0	3.4	5.4
3522	disbelief	4.2	5.6	5.2
3523	disc	5.6	3.6	5.6
3524	discard	4.0	3.7	6.0
3525	discerning	5.0	4.3	4.9
3526	discharge	3.4	4.9	4.0
3527	disciple	4.7	3.5	4.3
3528	disciplinary	3.6	4.6	4.6
3529	discipline	5.9	5.8	6.0
3530	disciplined	6.2	4.4	5.7
3531	disclose	4.0	4.4	5.9
3532	disclosure	4.7	3.2	4.3
3533	disco	5.8	5.2	5.2
3534	discoloration	3.8	4.0	4.8
3535	discomfort	2.8	4.4	3.6
3536	disconcerting	3.6	4.4	4.8
3537	disconnect	3.8	3.1	4.6
3538	discontent	2.8	4.7	3.7
3539	discontinue	3.9	3.9	4.4
3540	discord	3.6	5.4	4.1
3541	discount	5.8	4.6	5.9
3542	discourage	3.0	3.7	3.7
3543	discouraged	3.2	3.4	3.5
3544	discouraging	2.9	4.2	4.2
3545	discourse	3.2	4.3	5.2
3546	discover	7.2	5.7	6.8
3547	discovery	6.8	6.0	6.2
3548	discredit	3.1	4.0	4.3
3549	discreet	5.0	3.4	6.4
3550	discrepancy	3.4	3.8	3.7
3551	discretion	5.4	3.6	5.9
3552	discretionary	5.5	3.0	5.1
3553	discriminate	3.2	4.0	5.0
3554	discriminating	2.3	4.8	4.0
3555	discrimination	2.4	5.6	4.6
3556	discuss	5.9	2.8	6.4
3557	discussion	6.2	5.0	6.0
3558	disdain	3.7	3.2	4.2
3559	disdainful	3.1	4.7	4.5
3560	disease	1.7	5.5	2.8
3561	diseased	2.2	5.5	3.1
3562	disembodied	3.7	5.5	4.2
3563	disengage	4.0	4.0	5.4
3564	disgrace	2.4	4.3	3.3
3565	disgraceful	2.4	4.1	2.8
3566	disgruntled	3.1	3.6	3.6
3567	disguise	4.8	4.4	4.8
3568	disgust	3.3	5.0	4.8
3569	disgusted	2.7	4.9	4.2
3570	disgusting	2.3	6.2	4.8
3571	dish	5.7	3.6	5.5
3572	dishonest	3.0	5.0	5.0
3573	dishonesty	2.0	5.4	4.3
3574	dishonor	2.4	4.8	3.8
3575	dishonorable	2.3	5.8	3.7
3576	dishwasher	5.3	3.0	5.2
3577	disinfect	5.1	4.0	5.6
3578	disinfectant	5.1	3.0	5.8
3579	disintegrate	4.3	5.4	4.5
3580	disk	5.2	3.0	5.2
3581	dislike	3.2	4.3	5.8
3582	disloyal	2.3	5.1	3.3
3583	disloyalty	2.6	5.8	3.7
3584	dismal	2.6	3.3	5.0
3585	dismantle	4.7	4.0	4.5
3586	dismay	3.1	2.8	4.0
3587	dismiss	4.6	3.7	5.1
3588	dismissal	4.0	4.5	4.8
3589	dismissive	3.4	2.7	4.5
3590	dismount	5.0	3.6	6.1
3591	disobedience	3.3	4.5	4.4
3592	disobey	3.2	5.4	4.3
3593	disorder	3.8	4.9	4.2
3594	disorderly	3.0	4.8	4.0
3595	disorientation	3.6	5.1	3.1
3596	disoriented	3.3	4.8	4.0
3597	disown	2.3	4.5	3.6
3598	disparage	3.0	4.0	3.5
3599	dispatch	4.9	3.6	5.3
3600	dispatcher	4.6	3.9	5.0
3601	dispensary	5.0	4.1	5.1
3602	dispense	5.2	3.0	5.4
3603	dispenser	5.3	4.2	5.5
3604	dispersal	4.9	4.4	5.2
3605	disperse	4.2	3.7	5.1
3606	displace	2.9	3.8	4.6
3607	displacement	3.7	3.9	4.8
3608	display	6.2	3.8	6.5
3609	displease	2.6	5.7	4.4
3610	displeased	3.4	4.2	5.0
3611	displeasure	2.5	4.8	4.1
3612	disposable	4.0	2.9	3.5
3613	disposal	4.0	4.4	4.1
3614	dispose	4.0	5.5	4.9
3615	disposition	4.8	4.2	5.6
3616	disprove	3.9	4.3	4.1
3617	dispute	2.5	4.6	4.1
3618	disqualify	2.5	4.7	3.4
3619	disregard	4.5	3.5	4.9
3620	disrespect	2.8	5.4	4.0
3621	disrespectful	2.7	4.6	3.7
3622	disrupt	3.5	4.9	4.6
3623	disruption	3.3	5.5	3.9
3624	disruptive	3.2	6.1	4.9
3625	dissatisfied	3.2	4.8	4.7
3626	dissect	4.0	5.4	5.2
3627	dissection	3.1	4.3	4.9
3628	dissent	4.8	4.0	3.8
3629	dissertation	4.3	3.7	5.6
3630	dissociative	3.6	4.6	4.1
3631	dissolve	5.4	3.4	4.7
3632	dissuade	4.1	3.4	5.0
3633	distance	3.9	3.8	4.2
3634	distant	4.7	3.0	3.6
3635	distasteful	3.2	5.0	3.9
3636	distilled	5.2	3.1	4.7
3637	distinct	5.6	3.7	5.8
3638	distinction	5.0	3.6	6.0
3639	distinctive	6.3	3.8	6.2
3640	distinguish	5.3	3.9	5.4
3641	distinguished	6.6	4.4	5.9
3642	distinguishing	5.4	5.7	6.0
3643	distort	3.4	3.6	4.7
3644	distorted	3.9	5.3	4.1
3645	distortion	3.5	4.4	3.9
3646	distract	3.7	3.6	4.4
3647	distraction	4.0	3.9	4.0
3648	distraught	2.8	5.6	3.6
3649	distress	3.2	4.0	3.9
3650	distressed	3.4	6.3	4.2
3651	distressing	3.6	5.5	4.5
3652	distribute	5.0	3.7	4.8
3653	distribution	5.5	3.4	5.2
3654	distributor	4.6	3.2	5.7
3655	district	4.9	3.0	4.6
3656	distrust	3.0	4.0	3.3
3657	disturb	3.4	5.0	4.3
3658	disturbance	2.7	5.2	3.3
3659	disturbing	2.7	5.6	4.4
3660	ditch	3.2	3.8	5.4
3661	ditto	5.5	3.9	6.0
3662	ditty	5.4	3.7	5.0
3663	diva	3.7	4.6	5.7
3664	dive	5.8	3.8	5.8
3665	diver	5.7	5.4	5.9
3666	diverse	6.0	3.6	6.2
3667	diversion	5.2	4.5	5.6
3668	diversionary	4.4	3.5	4.8
3669	diversity	6.1	3.2	4.7
3670	divert	4.4	4.1	5.5
3671	divide	4.8	4.6	4.9
3672	divine	7.2	3.0	6.0
3673	division	4.4	3.6	5.5
3674	divorce	2.5	5.4	4.0
3675	divorcee	3.3	3.8	4.2
3676	divulge	4.8	5.4	5.0
3677	divvy	4.8	3.3	5.8
3678	dizziness	3.4	5.0	4.2
3679	dizzy	3.1	4.7	3.6
3680	do	5.4	3.7	6.4
3681	doable	5.5	4.2	6.6
3682	doc	4.7	3.1	4.3
3683	docile	5.8	2.5	5.5
3684	dock	5.0	3.4	5.9
3685	docket	4.5	3.3	4.9
3686	docking	5.2	3.7	5.7
3687	doctor	5.9	4.0	4.7
3688	doctorate	6.0	3.9	6.5
3689	doctrine	4.9	3.0	5.4
3690	document	5.4	2.9	5.4
3691	documentary	5.9	3.8	5.4
3692	documentation	4.8	3.4	6.1
3693	documents	5.4	3.7	6.3
3694	dodger	4.7	4.0	6.2
3695	dodgy	4.8	4.6	4.6
3696	dodo	3.9	4.0	5.0
3697	doer	5.6	4.4	7.0
3698	dog	7.0	5.4	5.7
3699	dogface	4.0	4.1	4.9
3700	doggy	7.0	4.8	5.5
3701	doghouse	5.1	2.7	4.7
3702	dojo	6.0	4.2	5.4
3703	dole	5.0	4.4	4.8
3704	doll	5.9	3.5	5.7
3705	dollar	7.4	5.6	5.1
3706	dollhouse	5.6	3.6	6.0
3707	dolphin	6.7	3.0	5.7
3708	domain	5.0	3.4	6.9
3709	dome	6.0	4.4	5.5
3710	domestic	5.0	2.8	6.1
3711	domesticated	5.8	3.7	5.6
3712	dominance	5.2	5.5	4.6
3713	dominant	5.2	5.4	6.8
3714	dominate	4.4	6.4	5.5
3715	domination	3.6	5.0	5.4
3716	dominatrix	4.3	5.6	4.0
3717	dominion	4.6	4.7	5.0
3718	domino	5.0	3.5	4.8
3719	donate	6.7	3.2	6.7
3720	donation	7.0	4.0	6.7
3721	donkey	6.3	2.9	5.1
3722	donor	6.6	3.8	6.8
3723	doodle	6.4	4.1	6.9
3724	doom	3.0	6.2	2.4
3725	doomsday	2.8	6.2	3.0
3726	door	5.4	3.2	6.1
3727	doorbell	5.3	4.2	5.1
3728	doorknob	4.9	2.6	5.6
3729	doorman	5.4	3.4	5.7
3730	doormat	3.7	3.2	4.7
3731	doornail	4.7	3.3	5.0
3732	doorstep	5.1	3.3	5.1
3733	doorway	5.7	3.6	5.6
3734	dopamine	4.6	4.6	4.4
3735	dope	4.1	4.2	5.0
3736	dopey	3.9	2.9	4.2
3737	dork	4.4	2.9	5.8
3738	dorky	5.1	4.5	5.0
3739	dorm	5.2	4.3	5.1
3740	dormant	4.8	3.0	5.1
3741	dormitory	5.1	4.5	4.9
3742	dorsal	5.0	3.7	5.0
3743	dosage	4.6	4.0	5.8
3744	dose	4.9	3.0	5.0
3745	dossier	4.8	3.7	5.4
3746	dot	4.8	3.1	5.2
3747	dotted	4.9	3.3	5.4
3748	dotty	5.2	3.6	4.8
3749	double	5.8	3.4	5.1
3750	doubt	3.3	4.3	3.1
3751	doubtful	3.9	4.6	4.2
3752	douche	2.9	4.1	3.8
3753	dough	6.0	4.1	6.0
3754	doughboy	4.8	4.0	5.0
3755	doughnut	7.5	4.5	5.9
3756	douse	3.9	3.9	5.2
3757	dove	6.9	3.3	6.1
3758	downer	3.5	3.1	4.0
3759	downfall	3.2	4.5	3.6
3760	downfield	4.8	2.5	4.6
3761	download	6.0	3.6	6.3
3762	downriver	5.6	3.6	3.8
3763	downside	3.6	4.6	4.3
3764	downtime	5.8	3.1	6.1
3765	downward	4.0	4.0	4.0
3766	downy	5.8	3.1	5.5
3767	dowry	4.7	3.1	5.2
3768	doze	6.0	3.4	5.6
3769	dozen	5.8	3.0	5.6
3770	Dr. Pepper	6.9	4.5	6.0
3771	drab	2.8	2.4	4.8
3772	draft	5.3	4.1	5.3
3773	drafty	4.3	3.7	4.9
3774	drag	3.7	4.8	5.5
3775	dragon	6.7	5.4	5.2
3776	dragonfly	6.4	3.9	5.4
3777	drain	3.8	2.9	5.2
3778	drainage	3.9	3.5	4.6
3779	drainpipe	4.5	2.9	4.7
3780	drake	5.0	4.3	5.2
3781	drama	4.4	5.1	4.1
3782	dramatic	5.2	6.6	4.8
3783	drape	5.0	3.3	5.4
3784	drastic	4.6	5.2	4.9
3785	drat	4.2	3.4	4.5
3786	draught	3.9	3.3	4.4
3787	draw	6.2	3.6	6.4
3788	drawback	4.4	3.1	4.4
3789	drawbridge	5.4	3.3	5.0
3790	drawer	4.7	3.0	5.7
3791	dread	3.0	4.5	3.6
3792	dreaded	2.1	5.1	3.5
3793	dreadful	2.6	4.5	3.4
3794	dream	7.4	4.4	5.4
3795	dreamboat	7.5	4.3	5.9
3796	dreamer	7.4	4.4	6.5
3797	dreamland	7.0	4.0	5.3
3798	dreamy	7.5	4.9	6.3
3799	dreary	3.6	3.5	4.3
3800	dredge	3.3	3.4	4.2
3801	dress	6.4	4.7	6.6
3802	dresser	5.3	2.6	5.0
3803	dressmaker	6.8	3.0	5.5
3804	dressy	5.8	4.2	7.6
3805	dribble	4.7	3.8	4.7
3806	drift	5.1	3.3	4.6
3807	drifter	5.0	4.3	5.5
3808	driftwood	5.5	3.1	5.0
3809	drill	4.7	5.1	5.5
3810	drink	6.7	5.2	5.9
3811	drinker	3.7	5.3	4.0
3812	drip	5.5	3.7	4.1
3813	drive	6.5	4.2	5.7
3814	drivel	4.3	4.6	4.4
3815	driver	6.4	3.2	5.6
3816	driveway	4.6	3.4	6.2
3817	drizzle	5.2	4.2	4.7
3818	droll	5.1	3.4	5.2
3819	drone	3.5	4.3	4.9
3820	drool	3.3	2.7	4.4
3821	droopy	4.0	3.2	4.4
3822	drop	4.2	4.7	4.8
3823	dropout	3.3	4.7	4.0
3824	dropper	5.0	3.4	4.5
3825	drought	2.8	3.6	3.0
3826	drown	2.3	5.4	2.6
3827	drowsy	4.2	2.8	3.5
3828	drug	4.1	4.5	3.7
3829	drug dealing	2.8	4.7	3.7
3830	druggist	3.9	4.0	3.9
3831	drugs	3.9	5.8	4.3
3832	drugstore	4.7	4.0	5.1
3833	drum	6.0	4.7	5.6
3834	drummer	6.5	4.5	5.9
3835	drunk	4.1	5.0	2.9
3836	drunk driving	1.6	5.7	3.4
3837	drunkard	3.3	4.4	3.2
3838	drunken	3.0	4.4	4.0
3839	drunkenness	3.4	6.0	4.0
3840	dry	4.9	3.8	6.2
3841	dryer	5.2	2.4	4.6
3842	dual	5.1	4.4	5.2
3843	dub	5.4	4.6	5.4
3844	dubious	3.5	4.3	5.2
3845	duchess	6.2	3.9	4.4
3846	duck	6.1	4.0	5.3
3847	duckling	7.2	3.9	5.8
3848	ducky	6.6	3.8	5.6
3849	duct	4.2	2.8	4.6
3850	dud	3.7	3.3	4.2
3851	dude	5.9	3.8	5.6
3852	due	4.9	4.4	3.7
3853	duel	5.0	5.6	4.8
3854	duet	6.1	3.8	5.7
3855	duffel	4.9	3.5	5.8
3856	dugout	4.6	4.1	5.0
3857	duh	4.5	3.9	4.8
3858	duke	4.8	4.2	5.4
3859	dull	3.4	1.7	4.7
3860	dullard	4.7	3.6	4.6
3861	dumb	2.4	5.3	4.4
3862	dumbbell	4.7	3.5	5.0
3863	dummy	3.7	3.8	3.7
3864	dump	3.7	3.7	4.5
3865	dumpling	6.5	2.5	5.0
3866	dumpster	3.5	4.0	4.4
3867	dunce	3.2	5.0	4.7
3868	dune	5.4	2.8	5.2
3869	dung	3.9	3.4	4.6
3870	dungeon	3.5	5.1	3.7
3871	dunk	4.7	3.6	5.2
3872	duo	6.4	3.8	5.8
3873	dupe	4.0	3.7	3.9
3874	duplex	5.7	3.1	4.8
3875	duplicate	4.7	4.5	5.5
3876	duration	5.4	3.3	4.8
3877	duress	2.8	4.4	3.2
3878	dusk	5.6	3.5	5.3
3879	dusky	5.0	4.6	4.6
3880	dust	3.7	3.4	4.6
3881	duster	5.3	2.8	5.8
3882	dustpan	4.7	2.9	5.4
3883	dusty	4.0	4.1	4.7
3884	duty	5.3	3.7	4.0
3885	dwarf	4.7	3.4	3.8
3886	dweeb	4.2	3.9	4.7
3887	dwell	4.8	3.1	5.3
3888	dwelling	5.2	3.6	5.8
3889	dye	5.2	3.3	4.8
3890	dyke	3.8	3.7	3.7
3891	dynamic	6.1	5.4	5.5
3892	dynamite	4.8	6.4	4.6
3893	dynamo	6.2	5.2	5.8
3894	dynasty	5.2	4.4	5.4
3895	dysentery	3.0	3.8	3.0
3896	dysfunction	3.2	4.9	3.2
3897	dysfunctional	3.1	4.6	3.0
3898	eager	6.4	5.8	6.5
3899	eagle	6.5	4.6	5.1
3900	ear	5.9	3.5	6.7
3901	earful	4.3	4.2	4.7
3902	earl	5.2	3.6	5.8
3903	earn	7.0	4.4	6.8
3904	earnest	5.9	3.8	6.7
3905	earnings	6.4	4.8	6.8
3906	earpiece	5.0	3.9	6.0
3907	earring	6.4	3.6	5.7
3908	earrings	5.3	4.2	5.7
3909	earth	6.8	5.0	5.7
3910	earthling	5.5	3.1	4.6
3911	earthly	5.6	3.6	5.8
3912	earthquake	3.0	6.8	2.1
3913	earthy	6.5	3.3	6.6
3914	ease	6.2	2.4	6.4
3915	east	6.3	2.5	5.2
3916	eastbound	5.6	2.2	5.7
3917	eastern	5.4	3.5	4.5
3918	easy	7.5	3.8	6.8
3919	easygoing	7.0	3.2	6.8
3920	eat	7.1	4.4	7.3
3921	eater	5.0	4.2	5.9
3922	eavesdrop	4.0	4.3	5.2
3923	ebony	6.1	4.3	4.7
3924	eccentric	5.4	5.2	6.1
3925	echelon	5.6	3.2	4.4
3926	echinacea	4.8	3.7	5.4
3927	echo	5.2	3.6	4.6
3928	eclectic	5.9	4.5	5.8
3929	eclipse	6.8	5.1	5.8
3930	ecological	5.6	3.8	5.1
3931	economic	5.1	3.6	4.2
3932	economics	5.2	3.7	4.0
3933	economy	3.6	5.3	4.2
3934	ecosystem	6.5	3.7	4.4
3935	ecstasy	7.2	6.1	5.5
3936	ecstatic	6.4	7.0	5.6
3937	edema	3.9	3.3	4.4
3938	edge	4.4	4.6	4.3
3939	edgy	4.8	4.4	4.6
3940	edible	6.7	5.2	6.4
3941	edifice	5.0	4.0	5.3
3942	edit	5.0	4.1	6.6
3943	editing	5.4	5.6	6.6
3944	edition	5.3	3.8	4.8
3945	editor	5.4	4.1	5.9
3946	editorial	5.2	2.9	5.8
3947	educate	7.5	4.4	6.8
3948	education	6.6	4.6	6.8
3949	educational	6.6	4.5	5.7
3950	educator	6.6	3.5	6.1
3951	eel	4.1	4.8	4.9
3952	eerie	3.4	5.6	3.9
3953	effect	5.5	4.1	5.9
3954	effective	7.0	4.0	7.2
3955	effectiveness	6.9	5.0	6.2
3956	efficiency	6.7	3.7	6.8
3957	efficient	7.0	3.9	6.7
3958	effort	6.5	4.1	6.6
3959	effortless	7.1	3.4	7.0
3960	egg	6.0	3.3	5.7
3961	egghead	4.5	3.6	4.6
3962	eggnog	6.0	4.3	5.3
3963	eggplant	5.6	3.1	5.8
3964	eggshell	5.2	3.2	4.3
3965	ego	4.4	4.2	6.0
3966	egomaniac	3.7	5.5	5.2
3967	egotistical	3.1	5.1	5.2
3968	eight	5.4	3.5	5.3
3969	eighteen	5.7	3.8	5.7
3970	eighty	5.4	3.4	4.4
3971	ejaculate	6.0	6.2	5.8
3972	ejaculation	5.4	6.2	5.0
3973	eject	4.0	4.4	5.2
3974	ejection	3.5	4.3	3.6
3975	El Nino	4.3	4.1	3.5
3976	elaborate	6.4	4.2	6.0
3977	elastic	5.7	4.4	5.0
3978	elated	6.6	5.1	6.9
3979	elbow	5.4	3.2	6.0
3980	elder	6.1	2.5	4.1
3981	elderly	4.6	2.7	4.9
3982	elect	5.5	4.0	5.4
3983	election	4.5	4.2	5.0
3984	elective	5.4	3.5	6.4
3985	electoral	4.2	3.9	5.0
3986	electric	6.1	4.0	5.5
3987	electric slide	6.0	4.7	5.7
3988	electrical	5.6	6.0	5.0
3989	electrician	5.2	3.2	5.7
3990	electricity	6.2	4.3	4.7
3991	electrocute	3.3	6.0	4.4
3992	electrocution	2.4	5.8	2.5
3993	electromagnetic	5.1	5.2	4.9
3994	electron	5.3	3.8	4.6
3995	electronic	6.5	3.6	5.4
3996	electronics	6.5	4.6	6.0
3997	elegance	6.9	4.2	6.3
3998	elegant	7.0	4.4	6.0
3999	element	5.6	3.9	5.0
4000	elemental	5.2	4.4	4.8
4001	elementary	6.1	3.5	4.9
4002	elephant	6.2	4.2	4.2
4003	elevate	6.4	4.6	5.7
4004	elevation	5.7	3.6	6.1
4005	elevator	6.0	3.6	4.9
4006	eleven	5.0	3.0	5.2
4007	elf	6.1	4.3	5.4
4008	elicit	4.1	5.3	4.4
4009	eligible	6.4	4.8	6.0
4010	eliminate	3.9	3.6	5.5
4011	elimination	3.9	3.4	4.3
4012	elite	5.7	5.9	5.3
4013	elitist	4.5	4.6	5.7
4014	elixir	5.7	4.0	5.4
4015	elk	5.8	3.5	4.7
4016	elm	6.3	3.0	5.4
4017	elope	6.6	5.7	6.2
4018	eloquence	6.8	3.9	6.5
4019	eloquent	7.2	4.6	6.4
4020	elude	4.6	4.0	5.0
4021	elusive	4.3	4.5	4.7
4022	email	6.0	4.5	6.1
4023	emancipation	6.6	3.6	4.7
4024	embankment	5.0	3.6	5.4
4025	embargo	5.0	4.6	5.4
4026	embark	5.9	4.3	6.4
4027	embarrass	3.4	5.5	4.2
4028	embarrassed	3.5	5.4	3.7
4029	embarrassing	3.5	6.0	3.9
4030	embarrassment	2.7	5.4	2.9
4031	embassy	5.3	3.9	5.8
4032	embattled	4.0	4.0	4.9
4033	embezzlement	3.0	4.7	4.2
4034	embezzler	3.0	5.2	3.8
4035	emblem	6.0	2.7	5.5
4036	embodiment	5.7	3.8	4.9
4037	embolism	2.1	4.2	4.0
4038	embrace	7.0	5.8	6.6
4039	embroidery	6.5	2.8	6.0
4040	embryo	5.8	3.7	4.9
4041	emcee	5.2	4.0	4.7
4042	emerald	7.3	5.3	6.3
4043	emerge	5.8	4.7	6.7
4044	emergency	2.7	6.4	2.7
4045	emery	4.7	3.6	5.6
4046	eminence	5.4	4.5	5.0
4047	eminent	5.6	5.0	5.1
4048	emissary	4.8	3.4	5.6
4049	emission	4.1	3.7	4.7
4050	emit	4.8	4.0	5.3
4051	emotion	6.6	4.8	5.0
4052	emotional	5.1	5.3	4.5
4053	empathize	7.1	3.6	6.4
4054	empathy	7.3	3.6	5.9
4055	emperor	4.7	4.2	5.3
4056	emphasis	5.3	4.1	5.0
4057	emphasize	5.8	4.2	6.4
4058	emphysema	2.5	4.2	4.3
4059	empire	5.4	4.6	6.0
4060	empirical	4.7	4.1	5.3
4061	employ	5.9	3.8	5.0
4062	employee	5.3	4.6	4.8
4063	employer	5.3	4.1	3.3
4064	employment	6.0	5.0	5.4
4065	emporium	5.2	4.2	6.0
4066	empress	5.0	3.9	6.1
4067	emptiness	3.3	3.2	4.1
4068	empty	3.8	2.2	3.6
4069	emu	5.4	4.0	6.2
4070	emulate	5.1	4.2	5.8
4071	enable	5.1	4.0	5.4
4072	enamel	5.4	3.8	5.3
4073	enchanted	7.2	5.3	6.0
4074	enchanting	6.8	5.6	5.5
4075	enchantment	6.8	5.3	5.2
4076	enchantress	5.8	4.1	5.7
4077	enchilada	6.6	4.4	5.8
4078	enclosure	4.6	3.4	4.6
4079	encore	6.9	4.1	5.5
4080	encounter	5.2	4.7	5.3
4081	encourage	7.2	4.4	6.2
4082	encouragement	6.7	5.6	6.6
4083	encouraging	6.9	4.2	6.9
4084	encryption	5.1	4.0	5.3
4085	encyclopedia	6.1	5.0	6.5
4086	end	4.7	4.0	4.4
4087	end table	5.2	2.7	4.9
4088	endanger	2.7	4.7	4.0
4089	endangerment	3.0	4.8	3.8
4090	endearing	7.2	4.2	6.3
4091	endeavor	6.4	4.2	5.8
4092	endgame	4.2	5.3	5.3
4093	ending	4.2	4.2	4.6
4094	endless	4.0	4.2	3.2
4095	endorse	5.2	3.2	6.4
4096	endorsement	6.0	3.8	5.9
4097	endowment	6.0	3.7	6.2
4098	endurance	6.9	5.6	6.0
4099	endure	5.0	3.8	6.1
4100	enduring	6.7	3.4	6.4
4101	enema	3.3	4.1	3.2
4102	enemy	2.2	5.3	2.5
4103	energetic	7.6	6.1	5.8
4104	energize	7.4	6.0	6.6
4105	energy	6.9	6.2	6.5
4106	enforce	5.3	5.3	5.5
4107	enforcement	4.7	4.5	4.0
4108	enforcer	3.8	4.2	5.4
4109	engage	6.6	5.3	6.4
4110	engaged	6.8	5.2	5.4
4111	engagement	6.6	5.2	6.3
4112	engine	5.5	3.9	5.4
4113	engineer	5.8	4.2	6.5
4114	engineering	6.0	3.1	5.6
4115	engraving	6.2	3.0	5.4
4116	enhance	6.6	4.0	6.6
4117	enhancement	6.3	4.4	6.2
4118	enigma	5.4	4.6	5.2
4119	enjoy	7.7	5.0	7.3
4120	enjoyable	7.6	4.8	7.0
4121	enjoyment	8.4	5.5	6.6
4122	enlarge	5.3	3.9	5.9
4123	enlargement	4.6	3.9	5.4
4124	enlighten	7.4	3.2	6.3
4125	enlightening	7.0	5.9	6.4
4126	enlightenment	6.8	4.5	6.5
4127	enlist	4.4	3.7	5.6
4128	ennui	4.1	3.3	4.7
4129	enormous	5.7	5.0	6.0
4130	enraged	2.3	5.2	4.4
4131	enroll	5.9	4.2	5.9
4132	enrollment	6.2	3.8	6.0
4133	ensemble	5.7	3.9	5.4
4134	enslave	2.7	5.4	4.1
4135	ensure	5.7	3.6	6.0
4136	entail	5.4	4.1	5.0
4137	enter	6.1	4.3	6.8
4138	enterprise	6.0	4.0	5.6
4139	enterprising	5.5	4.3	6.2
4140	entertain	7.2	5.2	6.7
4141	entertainer	6.5	6.2	5.3
4142	entertaining	8.0	5.3	6.4
4143	entertainment	7.6	6.4	5.9
4144	enthusiasm	7.1	4.2	6.7
4145	enthusiast	6.6	5.9	6.9
4146	enthusiastic	7.6	5.9	6.2
4147	entice	5.3	4.4	5.2
4148	entire	5.7	2.8	5.1
4149	entirety	6.0	3.1	6.1
4150	entitle	4.9	4.0	6.4
4151	entity	5.2	3.5	4.9
4152	entourage	4.9	4.0	5.3
4153	entrails	3.4	4.7	4.2
4154	entrance	6.0	3.7	5.4
4155	entrapment	3.3	5.9	3.6
4156	entree	6.6	4.0	6.8
4157	entrepreneur	6.1	3.7	7.7
4158	entrust	6.3	3.2	6.8
4159	entry	5.0	4.4	6.4
4160	envelope	6.0	2.8	5.5
4161	envious	3.5	5.1	3.9
4162	environment	6.7	3.4	4.6
4163	environmental	5.5	6.0	5.7
4164	envision	6.1	3.8	6.6
4165	envoy	4.9	3.7	4.6
4166	envy	3.0	4.4	3.2
4167	enzyme	5.1	3.1	4.9
4168	epic	7.2	4.8	5.3
4169	epidemic	2.0	6.2	2.6
4170	epidural	3.6	4.9	4.3
4171	epilepsy	2.7	5.0	2.9
4172	epileptic	3.3	4.6	4.0
4173	epiphany	7.1	4.6	5.5
4174	episode	5.0	3.7	5.4
4175	epitaph	4.5	3.5	5.3
4176	epitome	5.7	4.2	6.1
4177	equal	6.5	3.5	6.6
4178	equality	6.8	4.7	6.0
4179	equalizer	5.0	3.7	5.5
4180	equate	6.2	3.8	5.1
4181	equation	5.3	3.9	5.6
4182	equator	5.4	4.1	5.3
4183	equestrian	5.7	3.4	5.5
4184	equilibrium	6.3	2.5	5.7
4185	equipment	5.6	3.0	5.2
4186	equity	5.4	3.9	5.6
4187	equivalent	5.9	4.0	5.6
4188	era	5.3	3.6	4.9
4189	eradicate	3.8	5.1	5.0
4190	erase	4.9	3.6	5.4
4191	eraser	5.6	3.6	6.9
4192	erect	5.8	5.4	5.7
4193	erectile	4.5	5.5	4.5
4194	erection	7.4	7.4	5.2
4195	ergo	4.9	4.0	5.2
4196	erosion	3.8	5.9	3.9
4197	erotic	5.8	7.3	5.9
4198	erotica	6.1	6.5	5.6
4199	err	3.6	3.7	4.8
4200	errand	4.7	3.9	6.2
4201	errant	4.4	4.8	4.2
4202	erratic	3.2	5.1	4.4
4203	erroneous	4.4	4.6	4.1
4204	error	3.4	4.4	4.2
4205	erupt	5.1	6.4	3.3
4206	eruption	4.7	6.1	2.8
4207	escalate	4.0	6.2	5.2
4208	escalating	4.8	4.5	5.6
4209	escalation	4.8	4.9	4.6
4210	escalator	6.0	4.6	5.3
4211	escape	5.5	4.6	5.4
4212	escort	5.4	5.3	5.6
4213	escrow	4.6	3.1	4.4
4214	esophagus	4.5	3.8	5.0
4215	espionage	4.0	5.5	4.5
4216	espresso	6.7	5.2	6.3
4217	esquire	5.7	2.9	5.4
4218	essay	4.9	4.0	5.6
4219	essence	6.8	3.9	5.6
4220	essential	6.3	4.3	6.3
4221	establish	5.6	3.7	6.3
4222	estate	5.6	3.4	5.3
4223	esteem	6.4	3.9	6.4
4224	esteemed	6.0	4.7	5.5
4225	estimate	6.0	3.4	5.4
4226	estimation	4.7	3.2	5.3
4227	estranged	3.7	4.0	4.5
4228	estrogen	5.2	4.4	4.2
4229	eternal	6.8	3.6	5.4
4230	eternity	6.0	3.8	4.4
4231	ether	4.6	4.8	4.3
4232	ethic	6.0	3.6	6.0
4233	ethical	5.8	3.8	5.7
4234	ethics	6.0	3.7	6.6
4235	ethnic	5.4	3.6	5.0
4236	etiquette	6.0	3.7	5.6
4237	eucalyptus	6.0	3.1	5.6
4238	eulogy	3.4	4.2	4.0
4239	euphemism	5.0	3.5	5.5
